;0
152;779132.2898027059
153;-303926.6179688652
154;-1283190.7401416544
155;-880531.3879692731
156;139666.55619186256
157;-771974.764063926
158;2046097.5911472784
159;356548.30454784236
160;-116619.41830745898
161;528987.5573196858
162;-1325746.1548763649
163;-800124.564313509
164;177788.26649631
165;-1601793.9977086843
166;-2456033.638437083
167;840778.3491047248
168;445987.6917830473
169;232260.04939460615
170;415116.44676826056
171;1231912.713467496
172;-843263.6409945651
173;-719453.0012469776
174;1596987.103139666
175;803892.6377839306
176;-413458.4639887884
177;-2541849.3087890213
178;-1233018.1316963285
179;-217483.58851752477
180;121383.63385339454
181;4601468.773275325
182;-917666.6684369408
183;-898332.5463892957
184;6288753.675049202
185;-3908319.745311795
186;-652382.9690950764
187;-2049463.8648805222
188;364930.1399253439
189;-431078.84831592906
190;-1172685.1941958684
191;-1734827.4164306652
192;-2445334.78123268
193;-414101.1704204846
194;834976.5902566407
195;-1116581.832820164
196;463961.3680753298
197;-1103236.346347752
198;2797841.6100053694
199;273580.3281782912
200;-997270.4685164727
201;-1242854.0078401244
202;63125.17029918451
203;-866929.9140841383
204;-5048830.696884148
205;-504235.4511110522
206;-2474346.207732105
207;430847.74555837736
208;3382267.4094740506
209;2014359.4262059373
210;-153782.02398854494
211;-2084602.5622329423
212;-624174.7706555855
213;983576.7417605883
214;15359.215967411175
215;1518293.161389567
216;-235385.8177386811
217;730113.5010216003
218;1491241.9530995693
219;169179.50868380163
220;715297.8857299485
221;-482330.67775666795
222;989539.2077427646
223;104506.6129831234
224;1115804.9785009753
225;-6883000.285710559
226;4054625.4828133006
227;-1615717.1407438004
228;186589.7789245611
229;-1690205.7035465473
230;-252412.88448719168
231;1009121.7584858267
232;2949740.5954247387
233;-139244.92790507711
234;889531.3794969227
235;-2458712.935097255
236;-2708603.1089808075
237;2476313.1557353036
238;-1754993.796724408
239;-1722572.9669382824
240;-694487.7917238455
241;495290.2042668089
242;-793958.1560787046
243;-882621.7070569787
244;-1302750.1326840399
245;2371251.3154297452
246;-1145258.1389345862
247;2889494.065701967
248;-580526.1353865871
249;2185232.2928198
250;2949322.6609559488
251;-1366718.0850679893
252;-104842.68472314999
253;-564168.8225786595
254;1183869.7521102803
255;-5165.184370052069
256;987859.5733681694
257;52174.11132303253
258;3122857.82018682
259;553159.5454384096
260;-171503.02522040345
261;-3309292.9444792503
262;-2474149.901581236
263;-187913.12162576523
264;440747.0246050339
265;-268230.51842377335
266;-1549921.4413255919
267;-543294.5802801684
268;-593426.3517508698
269;1685710.2747886828
270;574018.491375526
271;219395.25655884575
272;2271277.7605031338
273;1832476.4370210161
274;-1421662.667916662
275;962158.163997638
276;-1251551.93467387
277;-1573407.970191874
278;-312113.1408633776
279;2662429.6867176453
280;788131.5359296883
281;-342263.66259116586
282;664645.3983342554
283;-2892935.20764465
284;40245.538314211764
285;1237549.3831009576
286;332996.8186674509
287;85590.63859724253
288;-669535.7124271393
289;658958.1945980238
290;-2420904.1028776895
291;-931336.9623682285
292;723524.1299850136
293;1358099.990822928
294;341603.5891102301
295;2964813.4508931385
296;2517431.250684676
297;-617536.7513682398
298;-2041145.259070821
299;-559400.4628602779
300;-474560.2265781779
301;-426968.83119479194
302;535529.3193209814
303;-1113156.790654186
304;-1488465.8495102795
305;224439.69588635373
306;-418016.0507418546
307;-2970304.704937294
308;-253384.2908731494
309;-657332.7397252163
310;-307696.3673655456
311;-2395716.503087941
312;1990217.8543056594
313;1276664.2900529671
314;-1019076.599487192
315;-810013.8207244761
316;-730250.64502644
317;2243464.267556507
318;-1847668.560066184
319;588224.4566769134
320;-2435986.92619894
321;-1859.967483223416
322;-2384928.885853595
323;-110706.77907487494
324;-1473009.5749243605
325;4066229.023819791
326;2069461.1112404726
