;0
0;13.99486042658031
1;150.0275474837233
2;97.63155475571885
3;7.039680134532637
4;-3.779253531274874
5;2.2974525823219385
6;22.725553286879393
7;-4.060225077859446
8;-1.811482997841036
9;-7.382074201078896
10;20.959213612220278
11;0.9648329102676381
12;-0.35987854188472096
13;7.319905761590815
14;-1.2173734156137581
15;6.865010549390714
16;-21.02051199588634
17;-2.3797818172440084
18;-0.9869813816325136
19;2.3740671586367963
20;-10.81597878455096
21;-9.243813254781895
22;-0.7004665483441961
23;0.8949276658357767
24;2.8348739236568963
25;-2.726886495238821
26;24.186660621606286
27;9.6876519592508
28;-4.659532260565932
29;-106.90053914173062
30;-105.43889012866704
31;1.9599861153380347
32;2.323829341980209
33;-9.644815454634188
34;-9.488043618745664
35;12.439562990546367
36;12.441207503865435
37;3.161869636929287
38;3.157351057469957
39;-2.2682130423327154
40;-2.269196477369822
41;15.681049215584189
42;15.663974738749975
43;3.5217243380522465
44;3.523156432479225
45;10.828049305836517
46;10.82559119691668
47;13.232329564329211
48;10.523402232804996
49;10.530001209192143
50;8.336394909208048
51;8.329824135906577
52;9.624032779669095
53;9.609150432685569
54;2.113838043009174
55;2.087113651012836
56;2.4639970405348985
57;2.4621164555228376
58;-10.104265645927265
59;-10.108388540206281
60;-11.260911640813774
61;-11.253919240605892
62;-11.314409955212628
63;-11.298019262958526
64;-8.18391776034642
65;-8.186880261847872
66;-7.914345294762758
